Created 2020/6/3 15:27 by Windographer 4.0.15

Latitude = N 0.000000
Longitude = E 0.000000
Elevation = 0 m
Calm threshold = 0 m/s

Included flags: <Unflagged data>, <unknown>
Excluded flags: 

Time stamps indicate the beginning of the time step.

Date/Time	Speed 100 m B [m/s]	Direction 100 m [°] [°]	
2017-09-01 00:00	3.865	203.1
2017-09-01 01:00	3.960	221.9
2017-09-01 02:00	3.137	256.1
2017-09-01 03:00	1.637	294.4
2017-09-01 04:00	0.970	302.2
2017-09-01 05:00	0.408	306.0
2017-09-01 06:00	1.982	99.6
2017-09-01 07:00	2.832	113.0
2017-09-01 08:00	1.087	104.8
2017-09-01 09:00	1.613	123.7
2017-09-01 10:00	2.078	125.4
2017-09-01 11:00	3.582	132.4
2017-09-01 12:00	3.655	133.0
2017-09-01 13:00	3.533	141.7
2017-09-01 14:00	4.175	141.4
2017-09-01 15:00	3.762	143.3
2017-09-01 16:00	3.618	188.0
2017-09-01 17:00	3.387	205.0
2017-09-01 18:00	5.312	146.6
2017-09-01 19:00	6.602	137.1
2017-09-01 20:00	6.547	129.0
2017-09-01 21:00	5.805	146.1
2017-09-01 22:00	5.235	154.2
2017-09-01 23:00	5.858	179.8
2017-09-02 00:00	6.233	212.3
2017-09-02 01:00	5.297	207.3
2017-09-02 02:00	4.792	206.8
2017-09-02 03:00	3.223	202.2
2017-09-02 04:00	3.675	194.7
2017-09-02 05:00	2.500	215.8
2017-09-02 06:00	1.747	206.0
2017-09-02 07:00	1.043	177.2
2017-09-02 08:00	1.292	154.9
2017-09-02 09:00	1.015	268.8
2017-09-02 10:00	1.673	250.1
2017-09-02 11:00	2.633	228.8
2017-09-02 12:00	2.495	263.1
2017-09-02 13:00	2.747	203.3
2017-09-02 14:00	4.235	197.1
2017-09-02 15:00	5.025	164.2
2017-09-02 16:00	6.558	152.8
2017-09-02 17:00	6.235	155.7
2017-09-02 18:00	5.655	168.6
2017-09-02 19:00	3.028	179.3
2017-09-02 20:00	3.777	189.1
2017-09-02 21:00	4.562	193.1
2017-09-02 22:00	4.460	203.4
2017-09-02 23:00	3.897	216.8
2017-09-03 00:00	3.472	203.6
2017-09-03 01:00	3.643	223.1
2017-09-03 02:00	3.468	232.3
2017-09-03 03:00	3.158	235.7
2017-09-03 04:00	3.398	215.4
2017-09-03 05:00	3.620	214.7
2017-09-03 06:00	3.572	211.8
2017-09-03 07:00	0.820	210.6
2017-09-03 08:00	1.170	213.2
2017-09-03 09:00	1.007	202.8
2017-09-03 10:00	1.117	230.4
2017-09-03 11:00	1.872	228.9
2017-09-03 12:00	2.507	209.5
2017-09-03 13:00	2.265	212.9
2017-09-03 14:00	3.697	223.2
2017-09-03 15:00	3.865	222.1
2017-09-03 16:00	3.850	228.6
2017-09-03 17:00	3.438	229.2
2017-09-03 18:00	3.433	224.0
2017-09-03 19:00	5.190	219.2
2017-09-03 20:00	5.667	212.7
2017-09-03 21:00	5.580	213.1
2017-09-03 22:00	5.797	215.1
2017-09-03 23:00	5.648	219.3
2017-09-04 00:00	5.070	211.1
2017-09-04 01:00	3.233	217.5
2017-09-04 02:00	2.395	205.6
2017-09-04 03:00	0.532	215.7
2017-09-04 04:00	1.043	276.9
2017-09-04 05:00	1.235	291.0
2017-09-04 06:00	0.800	291.0
2017-09-04 07:00	1.010	36.4
2017-09-04 08:00	2.270	106.6
2017-09-04 09:00	1.040	147.9
2017-09-04 10:00	1.162	210.0
2017-09-04 11:00	1.273	200.6
2017-09-04 12:00	1.127	189.9
2017-09-04 13:00	1.443	185.0
2017-09-04 14:00	3.418	220.9
2017-09-04 15:00	3.595	222.9
2017-09-04 16:00	5.943	220.3
2017-09-04 17:00	5.193	220.0
2017-09-04 18:00	5.222	224.5
2017-09-04 19:00	4.082	237.6
2017-09-04 20:00	4.065	236.7
2017-09-04 21:00	3.392	226.9
2017-09-04 22:00	2.770	256.2
2017-09-04 23:00	3.438	297.6
2017-09-05 00:00	3.357	310.1
2017-09-05 01:00	3.235	291.7
2017-09-05 02:00	3.675	294.7
2017-09-05 03:00	3.087	312.4
2017-09-05 04:00	4.698	305.4
2017-09-05 05:00	5.095	297.1
2017-09-05 06:00	4.148	305.7
2017-09-05 07:00	3.647	326.3
2017-09-05 08:00	3.183	349.2
2017-09-05 09:00	6.517	350.3
2017-09-05 10:00	4.758	339.3
2017-09-05 11:00	5.393	349.3
2017-09-05 12:00	4.327	346.8
2017-09-05 13:00	3.267	345.8
2017-09-05 14:00	2.042	353.1
2017-09-05 15:00	0.720	319.8
2017-09-05 16:00	1.470	293.6
2017-09-05 17:00	1.790	287.4
2017-09-05 18:00	3.005	266.4
2017-09-05 19:00	4.135	257.3
2017-09-05 20:00	3.578	279.7
2017-09-05 21:00	1.392	307.2
2017-09-05 22:00	1.773	241.3
2017-09-05 23:00	2.345	266.0
2017-09-06 00:00	3.128	288.0
2017-09-06 01:00	3.703	315.2
2017-09-06 02:00	4.703	304.5
2017-09-06 03:00	4.613	309.4
2017-09-06 04:00	4.975	319.1
2017-09-06 05:00	5.652	326.7
2017-09-06 06:00	7.422	332.8
2017-09-06 07:00	5.158	340.1
2017-09-06 08:00	3.228	339.5
2017-09-06 09:00	2.367	306.2
2017-09-06 10:00	2.777	298.2
2017-09-06 11:00	4.582	342.6
2017-09-06 12:00	5.780	348.1
2017-09-06 13:00	5.378	310.7
2017-09-06 14:00	6.022	294.0
2017-09-06 15:00	6.705	308.0
2017-09-06 16:00	6.010	323.6
2017-09-06 17:00	12.665	23.7
2017-09-06 18:00	8.810	356.2
2017-09-06 19:00	2.573	287.4
2017-09-06 20:00	5.573	269.4
2017-09-06 21:00	5.993	269.6
2017-09-06 22:00	5.243	283.8
2017-09-06 23:00	5.723	295.0
2017-09-07 00:00	4.967	299.8
2017-09-07 01:00	4.583	301.9
2017-09-07 02:00	4.850	301.9
2017-09-07 03:00	4.573	294.8
2017-09-07 04:00	3.257	300.1
2017-09-07 05:00	4.472	307.3
2017-09-07 06:00	6.075	299.8
2017-09-07 07:00	5.478	295.3
