Created 2020/6/3 16:01 by Windographer 4.0.15

Latitude = N 37.500000
Longitude = E 113.125000
Elevation = 0 m
Calm threshold = 0 m/s

Included flags: <Unflagged data>
Excluded flags: 

Time stamps indicate the beginning of the time step.

Date/Time	Speed_50m [m/s]	Direction_50m [°]	Temperature_10m [°C]	Temperature_2m [°C]	Pressure_0m [kPa]	
2017-08-31 16:00	4.820	197.9	13.1	11.6	87.4
2017-08-31 17:00	4.230	212.7	12.8	11.1	87.4
2017-08-31 18:00	3.620	227.5	12.6	10.8	87.4
2017-08-31 19:00	2.810	240.1	12.7	11.2	87.4
2017-08-31 20:00	1.910	247.7	12.9	11.8	87.4
2017-08-31 21:00	0.730	246.5	13.2	12.5	87.4
2017-08-31 22:00	0.400	138.6	13.6	13.1	87.4
2017-08-31 23:00	0.740	128.9	14.6	14.5	87.4
2017-09-01 00:00	1.160	132.3	16.8	17.1	87.4
2017-09-01 01:00	2.300	131.8	20.0	20.5	87.4
2017-09-01 02:00	3.170	126.3	21.6	22.2	87.4
2017-09-01 03:00	3.710	124.9	22.6	23.2	87.3
2017-09-01 04:00	3.940	125.7	23.1	23.8	87.3
2017-09-01 05:00	4.230	125.7	23.4	24.2	87.3
2017-09-01 06:00	4.640	125.9	23.4	24.0	87.2
2017-09-01 07:00	4.790	126.7	23.1	23.6	87.2
2017-09-01 08:00	4.950	126.6	22.3	22.5	87.2
2017-09-01 09:00	5.180	122.5	20.9	20.8	87.2
2017-09-01 10:00	5.740	118.1	18.2	17.6	87.2
2017-09-01 11:00	6.340	118.3	16.1	15.4	87.3
2017-09-01 12:00	6.060	121.5	15.1	14.4	87.3
2017-09-01 13:00	5.380	127.2	14.1	13.0	87.3
2017-09-01 14:00	4.670	135.3	13.5	12.2	87.3
2017-09-01 15:00	4.150	147.3	13.1	11.6	87.3
2017-09-01 16:00	4.030	161.7	12.7	11.2	87.3
2017-09-01 17:00	4.040	172.8	12.2	10.7	87.2
2017-09-01 18:00	4.020	181.6	11.8	10.2	87.2
2017-09-01 19:00	4.140	187.4	11.3	9.8	87.2
